,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,39.2,87,0,10.36,CL,1618453749
1,Fairbanks,64.8378,-147.7164,46.4,56,90,6.91,US,1618453479
2,Kapaa,22.0752,-159.319,78.8,57,20,16.11,US,1618453749
3,Mataura,-46.1927,168.8643,62.01,73,38,5.99,NZ,1618453750
4,Coquimbo,-29.9533,-71.3436,59.0,88,90,1.14,CL,1618453463
5,Canutama,-6.5339,-64.3831,73.83,98,100,2.37,BR,1618453750
6,Yellowknife,62.456,-114.3525,41.0,38,1,3.44,CA,1618453752
7,Ambulu,-8.345,113.6058,83.21,69,17,1.1,ID,1618453752
8,Clyde River,70.4692,-68.5914,-7.6,77,1,18.41,CA,1618453753
9,Upernavik,72.7868,-56.1549,-12.12,100,97,2.93,GL,1618453753
10,Ushuaia,-54.8,-68.3,41.0,65,40,3.44,AR,1618453753
11,North Myrtle Beach,33.816,-78.68,68.0,94,20,18.41,US,1618453757
12,New Norfolk,-42.7826,147.0587,57.0,76,11,5.01,AU,1618453758
13,Ébolowa,2.9,11.15,67.66,97,100,1.52,CM,1618453758
14,Ocampo,21.65,-101.5,70.41,16,68,3.89,MX,1618453759
15,Pisco,-13.7,-76.2167,66.2,82,0,8.05,PE,1618453759
16,Paita,-5.0892,-81.1144,70.47,78,53,10.85,PE,1618453759
17,Jumla,29.2747,82.1838,58.14,30,1,1.12,NP,1618453760
18,Saskylakh,71.9167,114.0833,1.6,87,21,5.73,RU,1618453760
19,Ribeira Grande,38.5167,-28.7,61.68,89,37,7.94,PT,1618453761
20,George Town,5.4112,100.3354,86.0,74,20,4.61,MY,1618453761
21,Tuktoyaktuk,69.4541,-133.0374,30.2,80,90,9.22,CA,1618453761
22,Busselton,-33.65,115.3333,66.99,72,29,1.99,AU,1618453762
23,Barabinsk,55.3571,78.357,37.22,99,100,3.06,RU,1618453762
24,Albany,42.6001,-73.9662,60.8,54,75,1.19,US,1618453535
25,Cape Town,-33.9258,18.4232,63.0,88,0,8.05,ZA,1618453493
26,Hargeisa,9.56,44.065,66.27,75,9,3.67,SO,1618453763
27,Longyearbyen,78.2186,15.6401,6.8,61,40,13.8,SJ,1618453570
28,Pacific Grove,36.6177,-121.9166,57.2,67,20,11.5,US,1618453763
